birthpl,birthpl_susenas,birthpl_hsiao
7101,7505,7101
7171,7571,7171
7320,7601,7320
7319,7602,7319
7319,7603,7319
7321,7604,7321
7321,7605,7321
,7618,
8101,8101,8101
8101,8102,8101
8102,8103,8102
8102,8104,8102
8101,8105,8101
8102,8106,8102
8102,8107,8102
8101,8108,8101
8102,8109,8102
8171,8171,8171
8101,8172,8101
,8174,
8103,8201,8103
8103,8202,8103
8103,8203,8103
8103,8204,8103
8103,8205,8103
8103,8206,8103
8103,8207,8103
8103,8208,8103
8103,8271,8103
8103,8272,8103
8205,9101,8205
8205,9102,8205
8207,9103,8207
8207,9104,8207
8207,9105,8207
8206,9106,8206
8206,9107,8206
8206,9108,8206
8206,9109,8206
8206,9110,8206
8206,9171,8206
8201,9401,8201
8202,9402,8202
8203,9403,8203
8204,9404,8204
,9407,8207
8208,9408,8208
8209,9409,8209
8204,9410,8204
8204,9411,8204
8205,9412,8205
8201,9413,8201
8201,9414,8201
8201,9415,8201
8202,9416,8202
8202,9417,8202
8202,9418,8202
8203,9419,8203
8203,9420,8203
8208,9426,8208
8209,9427,8209
8203,9428,8203
8202,9429,8202
8202,9430,8202
8202,9431,8202
8202,9432,8202
8204,9433,8204
8204,9434,8204
8204,9435,8204
8204,9436,8204
8203,9471,8203
